,animal,day,session,cell,gridness,coherence,spatial info,field number,field radius,field spacing,exposure number
42,SSW103,2016-3-11,1m floor s2,TT4_SS_03.txt,0.915496756,0.494126711,1.1260757,3,10.24965977,66.63887818,1
43,SSW103,2016-3-11,1m floor s2,TT4_SS_04.txt,1.346639066,0.725413423,1.58956567,1,13.08440281,,1
44,SSW103,2016-3-11,1m floor s2,TT4_SS_05.txt,1.640348414,0.544416709,0.866454878,3,9.86273971,63.51567767,1
45,SSW103,2016-3-13,1m floor s2,TT4_SS_02.txt,1.197392969,0.332320203,0.496099783,3,13.52310737,61.19853959,2
46,SSW103,2016-3-13,1m floor s2,TT4_SS_03.txt,-0.254310853,0.524532735,0.723771226,2,12.31855795,29.88817452,2
47,SSW103,2016-3-13,1m floor s2,TT4_SS_04.txt,0.768695807,0.640070097,0.578433348,3,11.669751,67.75051073,2
48,SSW103,2016-3-16,1m floor s2,TT4_SS_01.txt,0.438440184,0.767873452,1.434049924,2,14.05224104,71.99751477,3
49,SSW103,2016-3-25,1m floor s2,TT2_SS_01.txt,1.261024076,0.319991182,0.831470184,3,10.09024632,67.47460409,4
50,SSW103,2016-3-30,1m floor s2,TT2_SS_01.txt,0.713641198,0.513001005,0.820169466,2,13.04717826,74.34316743,5
51,SSW103,2016-4-8,1m floor s2,TT2_SS_03.txt,1.074141058,0.189214994,0.640316032,1,9.252069954,,6
52,SSW108,2016-3-12,1m floor s2,TT4_SS_01.txt,0.969465073,0.735468506,0.732662305,3,12.05246701,43.65407024,1
53,AM8,2021-4-6,1m active raised s3,TT1_SS_06.txt,-0.168655357,0.112392183,0.16607167,1,7.848568819,,1
54,AM8,2021-4-6,1m active raised s3,TT2_SS_04.txt,-0.445453125,0.065365142,0.329360268,1,13.07250599,,1
55,AM8,2021-4-6,1m active raised s3,TT2_SS_06.txt,-0.441867797,0.434355866,0.5390071,2,13.03444912,75.1357969,1
56,AM8,2021-4-9,1m active raised s3,TT2_SS_01.txt,-0.240512785,0.604669993,1.049108363,2,12.32216408,66.4540117,2
57,PL68,2019-4-22a,1m active raised s3,TT1_SS_01.txt,-0.134787916,0.374022147,0.406798489,3,8.341282797,49.98023086,1
58,PL68,2019-4-22a,1m active raised s3,TT2_SS_03.txt,0.026121037,0.517942211,0.430569885,3,10.70683839,44.14578779,1
59,PL68,2019-5-6,1m active raised s3,TT2_SS_04.txt,1.189625504,0.199409167,0.216362075,2,11.63106623,59.5678399,3
60,PL73,2019-10-28,1m active raised s3,TT1_SS_02.txt,0.067555876,0.285604125,0.374310625,2,15.66580067,74.45146882,2
61,PL73,2019-10-28,1m active raised s3,TT1_SS_04.txt,-0.393595485,0.357246378,0.484247026,0,,,2
62,PL73,2019-10-28,1m active raised s3,TT2_SS_01.txt,0.114625631,0.286030006,0.762261826,1,21.56388695,,2
63,PL76,2019-12-10,1m active raised s3,TT1_SS_05.txt,0.974838092,0.13707665,0.542565087,3,12.04163599,61.44491752,4
64,PL76,2019-12-10,1m active raised s3,TT1_SS_06.txt,-0.323990177,0.360236133,1.055006747,2,11.40629803,59.18808039,4
65,PL76,2019-12-10,1m active raised s3,TT2_SS_01.txt,0.03382733,0.525489652,1.247153071,2,14.9153372,54.59151216,4
66,PL76,2019-12-10,1m active raised s3,TT2_SS_02.txt,-0.024542816,0.472030819,1.485783875,1,13.8806541,,4
67,PL76,2019-12-10,1m active raised s3,TT3_SS_07.txt,0.034100271,0.177257323,0.71743183,4,11.47141538,55.47463883,4
68,PL76,2019-12-10,1m active raised s3,TT3_SS_09.txt,1.318641845,0.641151117,1.337264658,2,9.865568235,60.65248906,4
69,PL76,2019-12-10,1m active raised s3,TT3_SS_11.txt,-0.630289219,0.357467649,0.529407319,2,13.80891897,45.11264604,4
70,PL76,2019-12-10,1m active raised s3,TT3_SS_14.txt,-0.189328896,0.404706664,0.699111886,2,15.66237232,56.66531598,4
71,PL76,2019-12-11,1m active raised s3,TT1_SS_03.txt,0.142598221,0.510603123,1.063844485,1,14.22801595,,5
72,PL76,2019-12-11,1m active raised s3,TT1_SS_04.txt,0.085824795,0.464326449,1.01640346,3,12.28148985,51.94041511,5
73,PL76,2019-12-11,1m active raised s3,TT1_SS_07.txt,0.955752593,0.387407682,0.90500107,2,15.68754917,54.18566025,5
74,PL76,2019-12-11,1m active raised s3,TT2_SS_05.txt,-0.001491262,0.275920172,0.503687277,2,14.74182723,41.84464303,5
75,PL76,2019-12-11,1m active raised s3,TT3_SS_10.txt,1.213627463,0.426940671,0.505469628,2,15.5923761,64.89054694,5
76,PL76,2019-12-11,1m active raised s3,TT3_SS_12.txt,-0.839862178,0.58218926,1.702083246,1,12.28148985,,5
77,PL76,2019-12-11,1m active raised s3,TT3_SS_14.txt,0.001729402,0.365299411,0.401073502,4,12.83462853,47.23110953,5
78,PL76,2019-12-13,1m active raised s3,TT1_SS_01.txt,-0.118991092,0.360502114,0.574469671,3,12.55821511,62.71871226,6
79,PL76,2019-12-13,1m active raised s3,TT1_SS_02.txt,1.366171874,0.582740867,1.036545217,2,11.62664797,56.18730101,6
80,PL76,2019-12-13,1m active raised s3,TT1_SS_03.txt,0.974534371,0.558545744,0.76391501,2,11.96372206,54.81388037,6
81,PL76,2019-12-13,1m active raised s3,TT2_SS_03.txt,1.031027119,0.58820191,1.428378935,1,16.13747991,,6
82,PL76,2019-12-19,1m active raised s3,TT3_SS_02.txt,0.934759385,0.51908716,0.629682678,1,18.05937433,,7
83,PL76,2019-12-4,1m active raised s3,TT3_SS_05.txt,-0.122770574,0.377332994,1.261348533,1,14.72290046,,1
84,PL76,2019-12-4,1m active raised s3,TT4_SS_03.txt,-0.403565487,0.257901424,0.496409505,1,20.62941979,,1
85,PL76,2019-12-5,1m active raised s3,TT4_SS_01.txt,0.408886625,0.490265558,0.617299055,4,11.34288303,49.37126611,2
86,PL76,2019-12-5,1m active raised s3,TT4_SS_05.txt,-0.709955459,0.394889492,1.1460316,2,10.45405816,47.53806929,2
87,PL76,2019-12-6,1m active raised s3,TT3_SS_08.txt,-0.590903122,0.382918629,0.407287369,1,11.28379167,,3
88,PL76,2019-12-6,1m active raised s3,TT4_SS_04.txt,0.278975338,0.473050107,0.677899984,3,11.51647165,65.80411238,3
89,PL76,2020-1-13,1m active raised s3,TT2_SS_01.txt,0.806386971,0.392897022,0.208580369,0,,,11
90,PL76,2020-1-13,1m active raised s3,TT2_SS_02.txt,0.33059542,0.572025441,0.889388702,2,12.68668413,54.40197943,11
91,PL76,2020-1-13,1m active raised s3,TT2_SS_03.txt,0.539809998,0.204994595,0.502201425,3,15.80213128,57.57026109,11
92,PL76,2020-1-13,1m active raised s3,TT2_SS_04.txt,-0.074636063,0.579610347,0.92083827,3,13.17333196,61.54471329,11
93,PL87,2021-2-19,1m active raised s3,TT2_SS_02.txt,-0.28420249,0.353437137,0.516427198,2,17.7712212,48.57049067,1
94,PL87,2021-2-19,1m active raised s3,TT2_SS_03.txt,-0.681628452,0.294164144,0.594559293,2,13.91621143,71.7814101,1
95,SSW103,2016-3-11,1m active raised s3,TT4_SS_03.txt,0.745829105,0.513084542,1.237291935,1,12.8449584,,1
96,SSW103,2016-3-11,1m active raised s3,TT4_SS_04.txt,-0.871430592,0.551176953,1.678165458,2,12.57121402,67.1644702,1
97,SSW103,2016-3-11,1m active raised s3,TT4_SS_05.txt,-0.014820001,0.609682168,1.625538772,1,16.32097333,,1
98,SSW103,2016-3-13,1m active raised s3,TT4_SS_02.txt,-0.398511117,0.236175815,0.413289479,2,12.28193934,50.10798975,2
99,SSW103,2016-3-13,1m active raised s3,TT4_SS_03.txt,-0.404418344,0.377392333,0.388025376,3,13.56194325,68.83079167,2
100,SSW103,2016-3-13,1m active raised s3,TT4_SS_04.txt,-0.37582424,0.571418127,0.66142798,2,16.12485433,61.76574206,2
101,SSW103,2016-3-16,1m active raised s3,TT4_SS_01.txt,0.217189062,0.651843804,1.396981012,1,17.21058502,,3
102,SSW103,2016-3-25,1m active raised s3,TT2_SS_01.txt,-0.283111391,0.255416998,0.975394132,1,10.73373206,,4
103,SSW103,2016-3-30,1m active raised s3,TT2_SS_01.txt,0.425534747,0.47015414,0.91040608,1,14.70929829,,5
104,SSW103,2016-4-8,1m active raised s3,TT2_SS_03.txt,-0.493853146,0.187139753,0.635110375,2,16.03870043,81.61585484,6
105,SSW108,2016-3-12,1m active raised s3,TT4_SS_01.txt,0.558049187,0.630932015,0.894236244,2,13.88624075,55.68129366,1
106,AM8,2021-4-6,1m floor s4,TT1_SS_06.txt,-0.016156606,0.228698344,0.209189438,0,,,1
107,AM8,2021-4-6,1m floor s4,TT2_SS_04.txt,-0.012376018,0.0998546,0.182628314,3,8.784669417,35.90798752,1
108,AM8,2021-4-6,1m floor s4,TT2_SS_06.txt,0.141391252,0.361860473,0.362091546,5,13.63771203,47.80927273,1
109,AM8,2021-4-9,1m floor s4,TT2_SS_01.txt,1.063328518,0.684189579,1.785368521,3,11.94437095,66.13059968,2
110,PL68,2019-4-22a,1m floor s4,TT1_SS_01.txt,-0.124916016,0.318691148,0.445287043,2,8.133023516,76.72519362,1
